word,number
比例,160
長,160
指標股,160
成功,160
世紀,159
昨天,159
股利,159
領先,159
擔憂,159
萬口,159
基板,158
合作,158
週二,158
挹注,158
開高走低,158
中環,157
區,157
仍將,157
智慧型,157
推薦,156
不斷,156
升溫,156
機制,156
周二,155
製程,155
伺服器,155
月增,155
DRAM,155
壓抑,155
期,155
依舊,155
人工,154
翻紅,154
員工,154
將是,153
釋出,153
利率,153
股息,153
比較,152
臻鼎,152
需要,152
規格,152
引發,152
歐美,152
南亞,152
期間,151
元大金,151
拉高,151
紅盤,151
宏達電,151
貶值,150
品牌,150
力守,150
續創,149
正式,149
包含,149
處於,149
平倉,149
強攻,148
知道,148
供貨,147
中石化,147
資產,147
題材股,147
強調,147
錸德,146
三雄,146
最大,146
黃,146
機械,146
研發,146
立隆,146
透過,146
優勢,146
績效,146
數量,145
第二,145
能力,145
整數,145
周四,144
衝高,144
也將,144
中小型,144
世界,144
可期,144
散戶,143
本次,143
佔,143
台郡,143
回到,143
同樣,143
上週,143
生醫,143
總經理,143
動向,142
基期,142
借券,142
看到,142
永豐金,142
上游,141
造紙,141
股后,141
貢獻,141
週一,141
一波,141
﹞,140
﹝,140
亞德,140
輪動,140
主管,140
前景,140
轉弱,140
編輯,140
央行,140
選擇權,139
估計,139
價值,139
代碼,139
下檔,139
聯合,139
會議,138
中華電,138
真的,138
值為,138
美中,137
企銀,137
佈局,137
德,137
接近,137
點的,137
原因,137
撐盤,137
盤整,137
雲端,137
積層,136
除權息,136
短,136
環境,136
創新,136
周一,136
事業,136
空方,136
人民幣,136
筆電,135
VIX,135
研判,135
機構,135
續強,135
數,135
轉向,135
中長期,135
不佳,135
客,134
小跌,134
價位,134
領漲,134
站,134
日期,134
權值,134
技嘉,134
PC,133
貿聯,133
配合,133
強彈,133
護盤,133
上月,133
繼續,133
中性,133
跌勢,133
觀光,133
標普,132
消費,132
口至,131
康控,131
想,131
兆豐,131
訊號,131
協議,131
媒體,131
直接,131
主力,131
追價,131
結構,131
位數,131
出貨量,131
有助,131
太陽能,131
逼近,130
舉行,130
超越,130
方式,130
說會,130
重返,130
過後,130
亞,129
gl,129
goo,129
黃金,129
開高走高,129
競爭,129
破底,129
出籠,129
行動,129
將於,129
退場,129
續,129
衰退,129
製造業,128
新品,128
最高,128
組合,128
科,128
旺詮,128
有效,128
走,128
氣勢,128
帶來,127
吸引,127
中期,127
選舉,127
開,127
下殺,127
偏空,127
未能,127
公債,126
一直,126
money,126
董事會,126
Fed,126
呈,126
百貨,126
作帳,126
紛紛,125
波,125
持穩,125
一年,125
十年,125
加持,125
橡膠,125
反映,125
黑,125
國喬,125
價,125
航運,125
TPK,125
彎,124
之外,124
