key,weight
應會,0.0017185402550044199
放假,0.0020830442552246514
突然,0.0018677250228073632
出走,0.0021071908526274553
不明,0.001744251043200529
同期,0.001642381326610938
治理,0.0015464797225142495
教育,0.0017142070790012007
反制,0.001530465173994264
慢慢,0.0017486913656904839
失控,0.0027942613989177514
情怯,0.00259775326825131
不見,0.0016326132422541991
工控,0.0014607592167537571
超買,0.002062248306005305
相挺,0.0014607592167537571
被迫,0.0018858147734400945
保留,0.0015393198345459186
受挫,0.002444075340987156
好好,0.0014487384380699644
不必,0.0014373243619127847
恐再,0.0023200293442559674
受訪,0.002405956357006189
下使,0.0014607592167537571
致使,0.001463654184467429
回台,0.0026976668554917448
大展,0.002393018198451774
招工,0.0016157287596181187
加分,0.0015076997820520099
善意,0.0020200417227755935
一大,0.002226960533603686
